id,student_name_id,name,start_date,end_date,location
1,1,techmagix is solutions pvt ltd,2018-05-01,till now,bangalore
2,2,Miraco IT Services Pvt Ltd,2018-06-01,Till now,Bangalore
3,3,Infocare sottech pvt ltd,2015-12-01,Till now,Bangalore
